"","educ","degree","rincome","wealth","poleff11","poleff18","poleff19","poleff20","polinter","news","newsfrom","polnews","partyid","grpparty","mobile16","marital","racecen1","race","region","sex","age","vote12bin"
"1338",12,"high school","$3000 to 3999",NA,"strongly disagree","disagree","neither agree nor disagree","agree",NA,"never","newspapers","several times a day","not str democrat",NA,"same city","widowed","american indian or alaska native","other","middle atlantic","female",73,1
"1339",12,"high school","$25000 or more",NA,"neither agree nor disagree","strongly agree","agree","disagree","have done it in the more distant past",NA,NA,"5-6 days a week","not str republican",NA,"same city","married","white","white","middle atlantic","male",27,1
"1340",8,"lt high school","$20000 - 24999",NA,NA,"agree","agree","agree","have done it in the past year","never","tv",NA,"strong democrat","belong and actively participate","same city","never married","white","white","middle atlantic","male",78,1
"1341",13,"high school","$10000 - 14999",NA,"disagree","agree",NA,"disagree",NA,"few times a week","newspapers","several times a day","ind,near rep","belong but dont participate","same city","never married","white","white","middle atlantic","female",34,1
"1342",11,"lt high school",NA,"$20,000 to $40,000","disagree","agree",NA,"agree",NA,"never",NA,"several times a day","not str democrat","belong and actively participate","same city","widowed","white","white","middle atlantic","female",80,0
"1343",11,"lt high school","$10000 - 14999",NA,"agree","disagree","agree","disagree",NA,"everyday",NA,"several times a day","not str democrat",NA,"same city","married","white","white","middle atlantic","female",56,0
"1344",11,"lt high school","$5000 to 5999",NA,NA,"agree","agree","agree","have not done it but might do it","everyday",NA,"never","independent","belong and actively participate","same city","married","white","white","middle atlantic","male",67,0
"1345",10,"lt high school","$3000 to 3999","$100,000 to $150,000",NA,NA,"strongly disagree","agree",NA,"never","books other printed material",NA,"independent","never belonged","same city","never married","white","white","middle atlantic","female",22,0
"1346",13,"high school","$25000 or more","$5,000 to $20,000","neither agree nor disagree",NA,NA,NA,NA,NA,"newspapers","several times a day","strong democrat","belong but dont participate","same city","never married","black or african american","black","middle atlantic","female",31,1
"1347",9,"lt high school",NA,"$5,000 to $20,000",NA,"agree","strongly disagree",NA,NA,NA,NA,NA,"independent","never belonged","same city","never married","white","white","middle atlantic","male",31,0
"1348",12,"high school","$20000 - 24999","$20,000 to $40,000",NA,"agree",NA,NA,NA,"once a week","radio","never","not str democrat","belong and actively participate","same st,dif city","widowed","white","white","middle atlantic","female",70,1
"1349",16,"bachelor","$10000 - 14999",NA,"disagree","disagree","disagree",NA,"have not done it and would never do  it","everyday",NA,"1-2 days a week","not str democrat",NA,"same city","divorced","white","white","middle atlantic","female",55,1
"1350",19,"graduate",NA,NA,"agree",NA,"strongly disagree","strongly disagree",NA,"few times a week","the internet","never","other party",NA,"same city","never married","white","white","middle atlantic","male",32,0
"1351",18,"graduate",NA,"$150,000 to $250,000",NA,NA,"neither agree nor disagree","disagree",NA,"once a week",NA,NA,"independent",NA,"same city","separated","white","white","middle atlantic","female",56,0
"1352",16,"bachelor","$25000 or more",NA,"strongly disagree",NA,NA,"strongly disagree",NA,"less than once wk","books other printed material","several times a day","strong republican",NA,"same city","married","white","white","middle atlantic","male",31,1
"1353",17,"graduate","$25000 or more","$2 million to $3 million",NA,"agree","strongly disagree",NA,NA,"few times a week",NA,NA,"not str democrat","belong but dont participate","different state","married","white","white","middle atlantic","male",45,1
"1354",12,"high school",NA,NA,"disagree","strongly agree",NA,"agree",NA,"few times a week","friends colleagues","3-4 days a week","independent","used to belong","same city","married","white","white","middle atlantic","male",60,1
"1355",12,"high school","$5000 to 5999",NA,NA,NA,"disagree",NA,NA,"less than once wk",NA,NA,"not str democrat","used to belong","same city","married","white","white","middle atlantic","male",39,1
"1356",14,"high school","$25000 or more",NA,NA,"strongly agree","neither agree nor disagree","disagree",NA,"few times a week","friends colleagues",NA,"not str republican","belong but dont participate","different state","married","white","white","middle atlantic","male",80,1
"1357",14,"junior college","$25000 or more",NA,NA,NA,"strongly disagree","strongly disagree","have done it in the past year","few times a week","the internet","several times a day","not str republican","belong but dont participate","same city","never married","white","white","middle atlantic","male",28,1
"1358",20,"graduate","$4000 to 4999","$150,000 to $250,000","neither agree nor disagree","neither agree nor disagree","agree","disagree","have not done it and would never do  it",NA,NA,NA,"independent",NA,"same st,dif city","married","white","white","middle atlantic","female",41,1
"1359",10,"high school",NA,"$20,000 to $40,000","agree",NA,"strongly disagree","disagree","have not done it but might do it","once a week","radio","several times a day","independent","belong and actively participate","same city","never married","white","white","middle atlantic","male",30,0
"1360",8,"lt high school",NA,"$4 million to $5 million",NA,NA,"disagree","agree","have not done it and would never do  it","never","radio",NA,"not str democrat","never belonged","same city","widowed","white","white","middle atlantic","female",79,1
"1361",14,"junior college","$25000 or more","$150,000 to $250,000","strongly disagree","disagree","agree",NA,"",NA,"the internet",NA,"not str democrat","never belonged","same st,dif city","married","white","white","middle atlantic","female",43,1
"1362",9,"high school",NA,"$500,000 to $1 million","neither agree nor disagree","agree",NA,NA,"have not done it and would never do  it","less than once wk",NA,"never","independent","belong and actively participate","different state","divorced","hispanic","other","middle atlantic","male",46,0
"1363",12,"high school","$3000 to 3999","$2 million to $3 million","strongly agree","strongly agree","strongly disagree","agree",NA,NA,"newspapers","once a day","strong democrat","never belonged","same city","widowed","black or african american","black","middle atlantic","female",51,0
"1364",8,"lt high school",NA,NA,"agree","strongly disagree","agree",NA,NA,"less than once wk",NA,"less than 1 day a week","ind,near rep",NA,"different state","divorced","hispanic","other","middle atlantic","female",59,0
"1365",12,"high school","$3000 to 3999",NA,"agree","disagree",NA,"agree","have done it in the more distant past","never","friends colleagues",NA,"other party","used to belong","same city","never married","white","white","middle atlantic","male",39,0
"1366",16,"bachelor",NA,NA,"disagree",NA,"agree","disagree","have done it in the past year","everyday","newspapers","several times a day","strong democrat","belong but dont participate","same city","never married","white","white","middle atlantic","female",51,1
"1367",12,"high school","$20000 - 24999","$250,000 to $500,000","strongly agree","strongly agree","strongly agree","disagree",NA,"never","other",NA,"not str republican",NA,"same st,dif city","married","white","white","middle atlantic","female",66,1
"1368",16,"bachelor",NA,"$150,000 to $250,000",NA,"strongly agree","neither agree nor disagree","strongly agree","have done it in the past year","once a week","newspapers",NA,"ind,near rep","never belonged","different state","married","filipino","other","middle atlantic","male",NA,0
"1369",12,"high school","$5000 to 5999","$75,000 to $100,000","disagree",NA,"agree","disagree","have not done it but might do it","everyday",NA,"once a day","not str republican",NA,"same city","married","white","white","middle atlantic","male",55,1
"1370",16,"bachelor","$25000 or more",NA,NA,"strongly agree","strongly agree",NA,"have done it in the more distant past",NA,NA,"several times a day","not str democrat",NA,"different state","married","white","white","middle atlantic","male",62,1
"1371",10,"lt high school",NA,NA,"strongly agree",NA,"neither agree nor disagree","strongly agree","have not done it and would never do  it",NA,"newspapers","once a day","not str democrat",NA,"same city","married","white","white","middle atlantic","male",75,0
"1372",12,"high school","$20000 - 24999",NA,NA,NA,"neither agree nor disagree",NA,"have not done it but might do it","never","family","5-6 days a week","not str republican","belong but dont participate","same st,dif city","married","white","white","middle atlantic","female",50,1
"1373",16,"bachelor","$25000 or more",NA,"strongly agree","strongly agree","strongly agree",NA,"have not done it but might do it","less than once wk","family","once a day","strong republican",NA,"same city","married","white","white","middle atlantic","female",37,1
"1374",14,"high school","$25000 or more",NA,NA,"agree","strongly disagree","disagree",NA,"everyday",NA,NA,"not str republican",NA,"same city","divorced","white","white","middle atlantic","male",43,1
"1375",16,"bachelor","$7000 to 7999",NA,NA,"disagree","agree","disagree","have done it in the past year",NA,"the internet","3-4 days a week","other party","belong and actively participate","same st,dif city","never married","white","white","middle atlantic","male",26,0
"1376",12,"high school",NA,NA,"agree","disagree","agree",NA,NA,"everyday",NA,"less than 1 day a week","not str democrat","never belonged","same city","never married","white","white","middle atlantic","female",43,0
"1377",14,"high school",NA,"$100,000 to $150,000",NA,"strongly disagree","strongly agree",NA,"have not done it and would never do  it",NA,NA,NA,"independent","never belonged","different state","divorced","white","white","middle atlantic","female",74,0
"1378",12,"high school","$25000 or more","$150,000 to $250,000","agree",NA,"neither agree nor disagree","agree","have not done it but might do it",NA,"the internet",NA,"not str democrat","belong and actively participate","same city","married","white","white","middle atlantic","male",60,0
"1379",16,"bachelor","$7000 to 7999",NA,"neither agree nor disagree","agree","agree",NA,NA,"few times a week",NA,"never","ind,near rep",NA,"different state","married","white","white","middle atlantic","male",49,1
"1380",15,"high school",NA,"$100,000 to $150,000","neither agree nor disagree",NA,"strongly agree","disagree","have done it in the past year",NA,"family","5-6 days a week","strong democrat","belong but dont participate","different state","married","white","white","middle atlantic","female",41,1
"1381",12,"high school",NA,"$150,000 to $250,000",NA,"agree","agree","agree",NA,"few times a week",NA,NA,"independent","never belonged","different state","divorced","white","white","middle atlantic","male",39,1
"1382",12,"high school",NA,"$250,000 to $500,000",NA,"neither agree nor disagree","neither agree nor disagree",NA,"","never","friends colleagues",NA,"not str republican",NA,"different state","married","white","white","middle atlantic","female",59,1
"1383",12,"high school","$6000 to 6999",NA,"neither agree nor disagree",NA,NA,"strongly disagree","",NA,"radio","","not str republican","belong but dont participate","different state","widowed","white","white","middle atlantic","male",77,1
"1384",10,"lt high school","$5000 to 5999","$2 million to $3 million","strongly agree",NA,NA,NA,"",NA,"other",NA,"strong democrat","never belonged","same st,dif city","never married","black or african american","black","south atlantic","female",33,1
"1385",12,"high school","lt $1000","$4 million to $5 million",NA,NA,NA,NA,"have not done it and would never do  it",NA,"radio",NA,"strong republican","belong and actively participate","different state","divorced","white","white","south atlantic","male",51,1
"1386",12,"high school","$1000 to 2999",NA,NA,NA,NA,"neither agree nor disagree","have not done it and would never do  it","once a week",NA,"5-6 days a week","ind,near rep","never belonged","different state","married","white","white","south atlantic","male",73,0
"1387",14,"high school","$3000 to 3999","$4 million to $5 million","agree",NA,"strongly disagree","agree","have not done it but might do it","everyday",NA,"less than 1 day a week","not str democrat",NA,"same city","never married","white","white","south atlantic","male",34,1
"1388",16,"bachelor",NA,"$4 million to $5 million","strongly disagree",NA,NA,"strongly agree",NA,"once a week","newspapers",NA,"independent",NA,"same st,dif city","divorced","white","white","south atlantic","female",37,0
"1389",10,"lt high school","$20000 - 24999",NA,"agree",NA,NA,"strongly agree","have not done it and would never do  it","less than once wk","tv","less than 1 day a week","ind,near rep",NA,"different state","married","white","white","south atlantic","male",59,0
"1390",13,"high school","$25000 or more",NA,"agree",NA,NA,"disagree","have not done it but might do it",NA,NA,"several times a day","strong democrat",NA,"different state","divorced","black or african american","black","south atlantic","male",55,1
"1391",14,"junior college","$10000 - 14999","$4 million to $5 million","strongly disagree",NA,"strongly agree","strongly disagree","have done it in the past year",NA,"the internet","3-4 days a week","other party","belong and actively participate","same st,dif city","married","white","white","south atlantic","female",72,1
"1392",18,"graduate","$3000 to 3999",NA,"agree","disagree","disagree",NA,"have done it in the more distant past","everyday","newspapers",NA,"strong democrat","belong but dont participate","different state","never married","white","white","south atlantic","female",24,1
"1393",14,"junior college","$25000 or more","$150,000 to $250,000",NA,NA,"strongly disagree","strongly agree",NA,NA,"tv","several times a day","not str republican","never belonged","same st,dif city","married","white","white","south atlantic","female",60,1
"1394",11,"lt high school",NA,"$4 million to $5 million","disagree",NA,"disagree","agree",NA,"less than once wk",NA,NA,"independent",NA,"same city","never married","white","white","south atlantic","male",41,0
"1395",11,"lt high school",NA,NA,"strongly agree","strongly agree",NA,"strongly disagree",NA,"everyday","tv","several times a day","strong democrat","never belonged","same st,dif city","married","white","white","south atlantic","male",73,1
"1396",18,"graduate","$25000 or more",NA,"strongly disagree",NA,"agree","disagree","have done it in the past year","few times a week","books other printed material",NA,"not str republican","belong and actively participate","same st,dif city","married","white","white","south atlantic","female",45,1
"1397",12,"high school","$8000 to 9999",NA,"neither agree nor disagree","disagree","disagree","agree",NA,NA,"friends colleagues","less than 1 day a week","strong democrat","belong and actively participate","different state","married",NA,"white","south atlantic","male",53,1
"1398",14,"high school",NA,NA,"neither agree nor disagree","disagree",NA,"agree","have not done it and would never do  it","never","family","1-2 days a week","strong democrat",NA,"same st,dif city","divorced","white","white","south atlantic","female",33,0
"1399",9,"lt high school","$20000 - 24999",NA,"neither agree nor disagree",NA,"disagree",NA,NA,"never",NA,"less than 1 day a week","independent","never belonged","same st,dif city","divorced","white","white","south atlantic","male",57,0
"1400",12,"high school",NA,"$75,000 to $100,000","strongly agree","strongly agree","neither agree nor disagree","agree",NA,"never","newspapers",NA,"strong republican","belong but dont participate","same st,dif city","divorced","white","white","south atlantic","male",66,1
"1401",13,"high school","lt $1000","less than $5,000","agree","agree","neither agree nor disagree",NA,"have not done it and would never do  it",NA,"tv","never","ind,near rep","belong but dont participate","different state","never married","white","white","south atlantic","female",46,1
"1402",12,"high school",NA,NA,NA,NA,NA,"disagree",NA,"everyday","newspapers",NA,"ind,near dem",NA,"same city","married","white","white","south atlantic","female",52,1
"1403",18,"graduate",NA,NA,"agree","agree","strongly agree","disagree","have not done it but might do it","everyday",NA,NA,"not str democrat","used to belong","different state","divorced","white","white","south atlantic","female",60,1
"1404",13,"high school","$25000 or more","$5,000 to $20,000",NA,NA,NA,"agree","have done it in the past year","few times a week",NA,"","not str democrat","never belonged","same st,dif city","never married","white","white","south atlantic","female",27,1
"1405",15,"high school",NA,NA,NA,"neither agree nor disagree","neither agree nor disagree",NA,NA,"once a week","tv","several times a day","ind,near rep","belong and actively participate","same city","married","white","white","south atlantic","male",62,1
"1406",9,"high school","$10000 - 14999","$250,000 to $500,000","strongly agree","strongly agree","agree",NA,NA,"once a week","tv","","ind,near rep","belong but dont participate","same st,dif city","married","white","white","south atlantic","male",65,1
"1407",12,"high school",NA,"$250,000 to $500,000","strongly agree",NA,NA,NA,NA,"everyday",NA,"5-6 days a week","not str republican","used to belong","same st,dif city","married","white","white","south atlantic","male",68,1
"1408",16,"bachelor",NA,NA,"neither agree nor disagree","neither agree nor disagree","agree","disagree","have not done it and would never do  it","less than once wk",NA,"1-2 days a week","not str republican",NA,"same st,dif city","married","white","white","south atlantic","male",41,1
"1409",12,"high school","$20000 - 24999",NA,"agree","agree","disagree","agree","have not done it but might do it",NA,NA,NA,"strong democrat","belong and actively participate","different state","married","white","white","south atlantic","female",63,1
"1410",16,"bachelor","$6000 to 6999","$75,000 to $100,000","disagree",NA,NA,NA,"have done it in the past year","few times a week",NA,"1-2 days a week","independent",NA,"same st,dif city","married","white","white","south atlantic","female",33,0
"1411",12,"high school","$25000 or more","$5,000 to $20,000",NA,"strongly agree",NA,NA,"have done it in the more distant past","never",NA,"3-4 days a week","not str democrat",NA,"different state","never married","black or african american","black","south atlantic","male",21,0
"1412",12,"high school","$3000 to 3999","$4 million to $5 million","strongly agree","agree",NA,"neither agree nor disagree","have not done it and would never do  it","never",NA,NA,"ind,near rep","never belonged","same city","widowed","white","white","south atlantic","female",83,0
"1413",16,"bachelor","$25000 or more",NA,NA,"neither agree nor disagree",NA,"strongly agree",NA,"everyday",NA,NA,"not str republican",NA,"same st,dif city","married","white","white","south atlantic","female",47,1
"1414",10,"lt high school","$15000 - 19999",NA,NA,NA,NA,"strongly agree","have not done it and would never do  it","once a week","the internet",NA,"independent","never belonged","same st,dif city","never married","black or african american","black","south atlantic","female",36,0
"1415",12,"high school","$25000 or more",NA,"strongly agree","strongly agree","neither agree nor disagree",NA,NA,"once a week","tv","once a day","independent","never belonged","same city","divorced","white","white","south atlantic","male",67,0
"1416",16,"bachelor","$20000 - 24999","$4 million to $5 million","disagree","disagree","disagree","agree","have not done it and would never do  it","never",NA,NA,"not str democrat",NA,"different state","widowed","white","white","south atlantic","female",81,1
"1417",14,"high school","$20000 - 24999",NA,NA,NA,"agree",NA,NA,NA,NA,"never","not str democrat","belong and actively participate","same city","never married","white","white","south atlantic","male",26,1
"1418",12,"high school","$1000 to 2999",NA,"disagree","agree","agree","disagree","have not done it but might do it","once a week",NA,NA,"ind,near rep","belong and actively participate","same city","divorced","white","white","south atlantic","female",49,0
"1419",13,"high school",NA,NA,"strongly agree",NA,"neither agree nor disagree",NA,"have not done it but might do it","less than once wk","newspapers",NA,"not str republican",NA,"same city","never married","white","white","south atlantic","female",33,1
"1420",13,"high school","$25000 or more","$75,000 to $100,000","strongly agree","strongly agree","neither agree nor disagree","strongly agree",NA,"few times a week","the internet","less than 1 day a week","ind,near rep",NA,"same city","married","white","white","south atlantic","male",24,1
"1421",13,"high school","$25000 or more","$250,000 to $500,000",NA,"disagree","agree","neither agree nor disagree","have not done it and would never do  it","few times a week",NA,"1-2 days a week","not str republican","never belonged","same st,dif city","married","white","white","south atlantic","female",55,1
"1422",9,"high school",NA,NA,"agree","agree",NA,"agree",NA,"once a week","government agencies","less than 1 day a week","not str republican","never belonged","same city","never married","white","white","south atlantic","male",28,0
"1423",12,"high school","$25000 or more",NA,NA,"strongly agree","neither agree nor disagree","agree",NA,"everyday","newspapers","once a day","ind,near rep",NA,"same st,dif city","married","white","white","south atlantic","female",78,1
"1424",17,"bachelor","$1000 to 2999","$100,000 to $150,000",NA,"disagree",NA,NA,"have not done it and would never do  it","everyday","radio","3-4 days a week","strong democrat",NA,"different state","divorced","white","white","south atlantic","female",83,1
"1425",18,"high school",NA,NA,"neither agree nor disagree",NA,NA,NA,"have not done it and would never do  it","everyday","the internet",NA,"independent","never belonged","same st,dif city","never married","white","white","south atlantic","female",24,0
"1426",16,"bachelor","lt $1000","$4 million to $5 million","agree","agree","neither agree nor disagree",NA,"have done it in the more distant past","less than once wk",NA,"less than 1 day a week","independent","never belonged","different state","never married","white","white","south atlantic","male",22,1
"1427",16,"bachelor",NA,NA,NA,"strongly disagree","strongly agree",NA,"have done it in the past year",NA,NA,"3-4 days a week","strong democrat","belong and actively participate","different state","widowed","white","white","south atlantic","female",55,1
"1428",16,"bachelor","$25000 or more",NA,NA,NA,"neither agree nor disagree","neither agree nor disagree",NA,"once a week",NA,"less than 1 day a week","independent","never belonged","same st,dif city","married","white","white","south atlantic","male",45,1
"1429",12,"high school","$25000 or more",NA,"disagree",NA,NA,NA,"have not done it and would never do  it","everyday","tv","once a day","independent",NA,"same city","married","white","white","south atlantic","female",57,0
"1430",12,"high school","$25000 or more",NA,"strongly agree",NA,NA,"strongly agree",NA,"everyday",NA,"once a day","independent","never belonged","same city","divorced","white","white","south atlantic","male",55,1
"1431",9,"high school","$6000 to 6999","$2 million to $3 million","strongly agree","agree","agree",NA,NA,"everyday",NA,NA,"ind,near dem","never belonged","different state","married","white","white","south atlantic","male",59,0
"1432",10,"lt high school",NA,NA,"neither agree nor disagree",NA,"agree",NA,NA,"less than once wk","tv","less than 1 day a week",NA,NA,"same st,dif city","never married","white","white","south atlantic","female",27,0
"1433",12,"high school",NA,NA,"strongly agree",NA,"agree","neither agree nor disagree","have not done it but might do it","everyday",NA,NA,"strong democrat","belong and actively participate","same city","divorced","black or african american","black","south atlantic","female",64,1
"1434",12,"high school","$15000 - 19999",NA,"strongly agree",NA,NA,NA,"have not done it and would never do  it","never","books other printed material","3-4 days a week","not str republican",NA,"same city","never married","white","white","south atlantic","male",31,0
"1435",16,"graduate",NA,"less than $5,000","strongly disagree","strongly agree","strongly agree","disagree","have not done it and would never do  it",NA,"books other printed material",NA,"strong republican",NA,"different state","separated","white","white","south atlantic","male",40,1
"1436",17,"graduate","$3000 to 3999","$150,000 to $250,000","neither agree nor disagree","disagree","neither agree nor disagree","strongly agree",NA,"never",NA,"","not str democrat","belong but dont participate","same st,dif city","married","white","white","south atlantic","female",36,1
"1437",14,"high school","$25000 or more","$250,000 to $500,000","disagree","disagree","agree","disagree","have not done it but might do it","less than once wk","tv","once a day","independent","used to belong","different state","married","white","white","south atlantic","male",51,1
"1438",12,"high school","$25000 or more","$5,000 to $20,000","agree","agree",NA,NA,NA,"few times a week","tv","several times a day","ind,near rep","never belonged","same city","never married","white","white","south atlantic","female",46,0
"1439",14,"high school",NA,NA,"disagree","agree","agree","agree","have not done it and would never do  it","few times a week","other","1-2 days a week","strong democrat",NA,"same st,dif city","married","white","white","south atlantic","male",57,1
"1440",18,"bachelor","$25000 or more","$500,000 to $1 million","strongly agree",NA,"disagree","strongly agree",NA,NA,"the internet","1-2 days a week","not str democrat","never belonged","same st,dif city","married","white","white","south atlantic","female",35,1
"1441",15,"high school","$20000 - 24999","$5,000 to $20,000","strongly agree",NA,"neither agree nor disagree","strongly agree",NA,"less than once wk",NA,"once a day","not str democrat","never belonged","same st,dif city","never married","black or african american","black","south atlantic","female",37,1
"1442",12,"high school","$25000 or more","$250,000 to $500,000",NA,"strongly agree","disagree","disagree","have not done it but might do it","less than once wk",NA,"once a day","independent",NA,"same city","married","white","white","south atlantic","male",62,1
"1443",9,"lt high school","$3000 to 3999","$4 million to $5 million","strongly agree","agree",NA,NA,NA,"never",NA,NA,"not str democrat",NA,"same city","widowed","white","white","south atlantic","female",89,0
"1444",13,"high school","$3000 to 3999",NA,NA,NA,"strongly disagree","disagree",NA,NA,"tv","","strong democrat",NA,"same city","never married","hispanic","other","south atlantic","male",21,1
"1445",12,"high school","$6000 to 6999",NA,"neither agree nor disagree","strongly agree","neither agree nor disagree",NA,"have done it in the past year","less than once wk",NA,NA,"strong republican","used to belong","same city","married","white","white","south atlantic","male",66,1
"1446",13,"high school",NA,"$75,000 to $100,000",NA,"strongly agree","agree","disagree",NA,NA,NA,NA,"ind,near rep","belong but dont participate","same city","divorced","white","white","south atlantic","male",52,1
"1447",13,"high school","$8000 to 9999",NA,NA,"strongly disagree","agree",NA,NA,"few times a week","tv","never","strong democrat","belong and actively participate","same city","divorced","black or african american","black","south atlantic","female",65,1
"1448",11,"high school",NA,NA,NA,NA,"strongly disagree",NA,NA,"once a week","other","once a day","strong democrat","belong and actively participate","same city","separated","black or african american","black","south atlantic","male",49,1
"1449",15,"junior college","$10000 - 14999",NA,"disagree","neither agree nor disagree",NA,NA,NA,"everyday",NA,NA,"strong democrat","belong but dont participate","same city","married","white","white","south atlantic","female",57,1
"1450",15,"junior college","$25000 or more","$100,000 to $150,000","agree","agree","strongly agree","agree","have not done it but might do it","less than once wk",NA,NA,"ind,near rep","never belonged","different state","married","white","white","south atlantic","male",54,1
"1451",16,"graduate",NA,NA,NA,NA,"disagree","strongly disagree",NA,"few times a week","family",NA,"not str republican","belong and actively participate","different state","married","white","white","south atlantic","male",37,1
"1452",12,"high school","$10000 - 14999",NA,NA,NA,"neither agree nor disagree","disagree",NA,"once a week",NA,"several times a day","strong democrat","belong and actively participate","same st,dif city","married","black or african american","black","south atlantic","male",39,1
"1453",14,"junior college","$20000 - 24999","$500,000 to $1 million","strongly agree","strongly agree","agree",NA,NA,"everyday","newspapers","several times a day","strong republican",NA,"same city","married","white","white","south atlantic","female",58,1
"1454",12,"high school",NA,NA,"strongly agree",NA,"strongly disagree","strongly disagree","have not done it but might do it","everyday",NA,"once a day","not str republican","belong but dont participate","same city","widowed","white","white","south atlantic","male",86,1
"1455",12,"high school","$8000 to 9999","$4 million to $5 million","disagree",NA,NA,"agree","have done it in the past year","never","radio",NA,"ind,near rep","used to belong","same city","divorced","white","white","south atlantic","female",77,1
"1456",12,"high school",NA,"$150,000 to $250,000",NA,"disagree","agree",NA,"have not done it and would never do  it","everyday","the internet","once a day","independent","never belonged","same st,dif city","married","white","white","south atlantic","female",49,0
"1457",12,"high school","$3000 to 3999","$4 million to $5 million",NA,"strongly agree","strongly agree",NA,"have not done it but might do it",NA,"newspapers","several times a day","ind,near rep","belong but dont participate","same city","widowed","white","white","south atlantic","female",67,1
"1458",13,"high school","$3000 to 3999",NA,"strongly agree","strongly agree","neither agree nor disagree","agree","have not done it but might do it","never","government agencies","once a day","not str republican",NA,"same city","married","white","white","south atlantic","male",58,0
"1459",12,"high school","$20000 - 24999",NA,"agree",NA,"strongly agree","neither agree nor disagree",NA,"once a week",NA,"less than 1 day a week","not str democrat",NA,"same st,dif city","married","white","white","south atlantic","female",60,1
"1460",12,"high school","$3000 to 3999",NA,"neither agree nor disagree","disagree","strongly disagree",NA,"have not done it but might do it","once a week","tv","never","strong democrat","belong and actively participate","same city","divorced","black or african american","black","south atlantic","female",56,1
"1461",14,"high school",NA,"$250,000 to $500,000",NA,NA,"agree",NA,NA,NA,NA,"1-2 days a week","independent",NA,"same city","never married","white","white","south atlantic","male",44,0
"1462",12,"high school","$4000 to 4999","$20,000 to $40,000",NA,NA,NA,"disagree","have done it in the past year","few times a week","friends colleagues","several times a day","strong democrat",NA,"same city","married","black or african american","black","south atlantic","male",71,1
"1463",16,"bachelor","$25000 or more",NA,"disagree","strongly agree",NA,"strongly disagree","have done it in the past year","everyday",NA,"several times a day","strong republican","belong and actively participate","same city","married","white","white","south atlantic","male",86,1
"1464",14,"junior college","$25000 or more","$150,000 to $250,000","neither agree nor disagree","neither agree nor disagree",NA,"neither agree nor disagree","have not done it and would never do  it","few times a week","the internet",NA,"not str republican","belong but dont participate","different state","divorced","white","white","south atlantic","male",32,1
"1465",11,"lt high school",NA,"$20,000 to $40,000",NA,"strongly disagree",NA,"agree","have not done it and would never do  it","less than once wk",NA,"once a day","not str democrat",NA,"same city","widowed","black or african american","black","south atlantic","female",82,1
"1466",15,"high school",NA,NA,"strongly disagree","strongly agree",NA,NA,"have not done it and would never do  it","few times a week","tv",NA,"independent","never belonged","different state","married","black or african american","black","south atlantic","female",38,1
"1467",13,"high school","$10000 - 14999",NA,"agree","disagree","strongly disagree",NA,"have not done it and would never do  it","once a week",NA,"less than 1 day a week","independent",NA,"different state","married","black or african american","black","south atlantic","female",25,0
"1468",10,"lt high school","lt $1000","$4 million to $5 million",NA,"strongly disagree","neither agree nor disagree","strongly agree","have done it in the past year","less than once wk",NA,NA,"not str democrat","used to belong","same city","married","black or african american","black","south atlantic","male",69,1
"1469",12,"high school","$1000 to 2999",NA,"disagree","strongly disagree","strongly agree","disagree","have not done it but might do it",NA,"tv","5-6 days a week","strong democrat",NA,"different state","married","white","white","south atlantic","female",57,1
"1470",10,"high school","$3000 to 3999",NA,"strongly agree","agree","neither agree nor disagree","strongly disagree","have not done it and would never do  it","never","books other printed material","once a day","independent","never belonged","same city","married","white","white","south atlantic","female",45,0
"1471",10,"lt high school","$3000 to 3999",NA,NA,NA,"neither agree nor disagree",NA,"have not done it and would never do  it",NA,"tv","3-4 days a week","strong democrat","never belonged","same city","never married","black or african american","black","south atlantic","male",66,0
"1472",18,"bachelor","$20000 - 24999",NA,NA,"strongly agree",NA,NA,NA,NA,NA,"5-6 days a week","strong democrat","belong and actively participate","same st,dif city","never married","black or african american","black","south atlantic","female",37,1
"1473",12,"high school","$4000 to 4999","$4 million to $5 million","strongly disagree",NA,NA,NA,"have done it in the past year",NA,"tv","several times a day","strong democrat",NA,"same city","never married","black or african american","black","south atlantic","female",52,1
"1474",11,"lt high school","$3000 to 3999",NA,"strongly agree",NA,NA,"strongly agree","have not done it and would never do  it","once a week",NA,"once a day",NA,"never belonged","same city","married","black or african american","black","south atlantic","male",45,1
"1475",12,"high school","$10000 - 14999",NA,NA,"disagree",NA,"disagree",NA,NA,NA,NA,"strong democrat",NA,"different state","married","black or african american","black","south atlantic","female",55,1
"1476",12,"high school",NA,"less than $5,000",NA,NA,"neither agree nor disagree","strongly disagree","have done it in the past year","never",NA,"several times a day","strong democrat","belong but dont participate","same city","never married","black or african american","black","south atlantic","female",30,1
"1477",0,"lt high school","$20000 - 24999",NA,NA,"agree","disagree",NA,"have not done it and would never do  it","never","family",NA,"ind,near dem","never belonged","different state","married","white","white","south atlantic","male",48,0
"1478",18,"junior college","$20000 - 24999",NA,NA,"neither agree nor disagree","disagree","agree",NA,"less than once wk",NA,"several times a day","strong republican",NA,"different state","married","white","white","south atlantic","female",56,1
"1479",14,"high school",NA,"$250,000 to $500,000",NA,"disagree","agree",NA,"have not done it and would never do  it",NA,"tv",NA,"strong democrat",NA,"same city","married","white","white","south atlantic","female",61,1
